Set,Name,Country,2024 Team,C/U/A,Role,Base Price
UFA6,Aradhya Shukla,India,-,Uncapped,Bowler,0.3
UFA6,Abhinandan Singh,India,-,Uncapped,Bowler,0.3
AL7,Cooper Connolly,Australia,-,Capped,All Rounder,0.75
AL7,Dushan Hemantha,Sri Lanka,-,Capped,All Rounder,0.75
AL7,Jason Holder,West Indies,-,Capped,All Rounder,2
AL7,Karim Janat,Afghanistan,-,Capped,All Rounder,0.75
AL7,Jimmy Neesham,New Zealand,-,Capped,All Rounder,1.5
AL7,Daniel Sams,Australia,-,Capped,All Rounder,1.5
AL7,William Sutherland,Australia,-,Capped,All Rounder,0.75
FA7,Taskin Ahmed,Bangladesh,-,Capped,Bowler,1
FA7,Ben Dwarshuis,Australia,-,Capped,Bowler,0.75
FA7,Obed McCoy,West Indies,-,Capped,Bowler,1.25
FA7,Riley Meredith,Australia,-,Capped,Bowler,1.5
FA7,Lance Morris,Australia,-,Capped,Bowler,1.25
FA7,Olly Stone,England,-,Capped,Bowler,0.75
FA7,Daniel Worrall,England,-,Capped,Bowler,1.5
UBA7,Pyla Avinash,India,-,Uncapped,Batter,0.3
UBA7,Kiran Chormale,India,-,Uncapped,Batter,0.3
UBA7,Ashish Dahariya,India,-,Uncapped,Batter,0.3
UBA7,Tushar Raheja,India,-,Uncapped,Batter,0.3
UBA7,Sarthak Ranjan,India,-,Uncapped,Batter,0.3
UBA7,Abhijeet Tomar,India,-,Uncapped,Batter,0.3
UAL7,Krish Bhagat,India,-,Uncapped,All Rounder,0.3
UAL7,Sohraab Dhaliwal,India,-,Uncapped,All Rounder,0.3
UAL7,Harsh Dubey,India,-,Uncapped,All Rounder,0.3
UAL7,Ramakrishna Ghosh,India,-,Uncapped,All Rounder,0.3
UAL7,Raj Limbani,India,-,Uncapped,All Rounder,0.3
UAL7,Ninad Rathva,India,-,Uncapped,All Rounder,0.3
UAL7,Vivrant Sharma,India,-,Uncapped,All Rounder,0.3
UAL7,Shiva Singh,India,-,Uncapped,All Rounder,0.3
UFA7,Sayed Irfan Aftab,India,-,Uncapped,Bowler,0.3
UFA7,Anirudh Chowdhary,India,-,Uncapped,Bowler,0.3
UFA7,Anshuman Hooda,India,-,Uncapped,Bowler,0.3
UFA7,Siddharth Kaul,India,-,Uncapped,Bowler,0.4
UFA7,Prashant Sai Painkra,India,-,Uncapped,Bowler,0.3
UFA7,Venkata Satyanarayana Penmetsa,India,-,Uncapped,Bowler,0.3
UFA7,Yeddala Reddy,India,-,Uncapped,Bowler,0.3
AL8,Zak Foulkes,New Zealand,-,Capped,All Rounder,0.75
AL8,Chris Green,Australia,-,Capped,All Rounder,1
AL8,Shakib Al Hasan,Bangladesh,-,Capped,All Rounder,1
AL8,Mehidy Hasan Miraz,Bangladesh,-,Capped,All Rounder,1
AL8,Wiaan Mulder,South Africa,-,Capped,All Rounder,0.75
AL8,Dwaine Pretorius,South Africa,-,Capped,All Rounder,0.75
AL8,Dasun Shanaka,Sri Lanka,-,Capped,All Rounder,0.75
FA8,Shoriful Islam,Bangladesh,-,Capped,Bowler,0.75
FA8,Blessing Muzarabani,Zimbabwe,-,Capped,Bowler,0.75
FA8,Matthew Potts,England,-,Capped,Bowler,1.5
FA8,Tanzim Hasan Sakib,Bangladesh,-,Capped,Bowler,0.75
FA8,Benjamin Sears,New Zealand,-,Capped,Bowler,1
FA8,Tim Southee,New Zealand,-,Capped,Bowler,1.5
FA8,John Turner,England,-,Capped,Bowler,1.5
UBA8,Joshua Brown,Australia,-,Uncapped,Batter,0.3
UBA8,Oliver Davies,Australia,-,Uncapped,Batter,0.3
UBA8,Bevan John Jacobs,New Zealand,-,Uncapped,Batter,0.3
UBA8,Atharva Kale,India,-,Uncapped,Batter,0.3
UBA8,Abhishek Nair,India,-,Uncapped,Batter,0.3
UBA8,Vishwanath Pratap Singh,India,-,Uncapped,Batter,0.3
UAL8,Nasir Lone,India,-,Uncapped,All Rounder,0.3
UAL8,Brandon McMullen,Scotland,-,Associate,All Rounder,0.3
UAL8,S. Midhun,India,-,Uncapped,All Rounder,0.3
UAL8,Abid Mushtaq,India,-,Uncapped,All Rounder,0.3
UAL8,Mahesh Pithiya,India,-,Uncapped,All Rounder,0.3
UAL8,Maramreddy Reddy,India,-,Uncapped,All Rounder,0.3
UAL8,Atit Sheth,India,-,Uncapped,All Rounder,0.3
UAL8,Jonty Sidhu,India,-,Uncapped,All Rounder,0.3
UFA8,Mohit Avasthi,India,-,Uncapped,Bowler,0.3
UFA8,Faridoon Dawoodzai,Afghanistan,-,Uncapped,Bowler,0.3
UFA8,Praful Hinge,India,-,Uncapped,Bowler,0.3
UFA8,Pankaj Jaswal,India,-,Uncapped,Bowler,0.3
UFA8,Vijay Kumar,India,-,Uncapped,Bowler,0.3
UFA8,Ashok Sharma,India,-,Uncapped,Bowler,0.3
UFA8,Mujtaba Yousuf,India,-,Uncapped,Bowler,0.3
AL9,Ashton Agar,Australia,-,Capped,All Rounder,1.25
AL9,Roston Chase,West Indies,-,Capped,All Rounder,0.75
AL9,Junior Dala,South Africa,-,Capped,All Rounder,0.75
AL9,Mahedi Hasan,Bangladesh,-,Capped,All Rounder,0.75
AL9,Nangeyalia Kharote,Afghanistan,-,Capped,All Rounder,0.75
AL9,Dan Lawrence,England,-,Capped,All Rounder,1
AL9,Nathan Smith,New Zealand,-,Capped,All Rounder,1
FA9,James Anderson,England,-,Capped,Bowler,1.25
FA9,Kyle Jamieson,New Zealand,-,Capped,Bowler,1.5
FA9,Chris Jordan,England,-,Capped,Bowler,2
FA9,Hasan Mahmud,Bangladesh,-,Capped,Bowler,0.75
FA9,Tymal Mills,England,-,Capped,Bowler,2
FA9,David Payne,England,-,Capped,Bowler,1
FA9,Nahid Rana,Bangladesh,-,Capped,Bowler,0.75
UBA9,Prayas Ray Barman,India,-,Uncapped,Batter,0.3
UBA9,Jafar Jamal,India,-,Uncapped,Batter,0.3
UBA9,Ayaz Khan,India,-,Uncapped,Batter,0.3
UBA9,Kaushik Maity,India,-,Uncapped,Batter,0.3
UBA9,Rituraj Sharma,India,-,Uncapped,Batter,0.3
UBA9,Vaibhav Suryavanshi,India,-,Uncapped,Batter,0.3
UAL9,Kartik Chadha,India,-,Uncapped,All Rounder,0.3
UAL9,Writtick Chatterjee,India,-,Uncapped,All Rounder,0.3
UAL9,Prerit Dutta,India,-,Uncapped,All Rounder,0.3
UAL9,Rajneesh Gurbani,India,-,Uncapped,All Rounder,0.3
UAL9,Shubhang Hegde,India,-,Uncapped,All Rounder,0.3
UAL9,Saransh Jain,India,-,Uncapped,All Rounder,0.3
UAL9,Ripal Patel,India,-,Uncapped,All Rounder,0.3
UAL9,Akash Vashisht,India,-,Uncapped,All Rounder,0.3
UFA9,Anirudh Kanwar,India,-,Uncapped,Bowler,0.3
UFA9,Shubham Kapse,India,-,Uncapped,Bowler,0.3
UFA9,Atif Mushtaq,India,-,Uncapped,Bowler,0.3
UFA9,Dipesh Parwani,India,-,Uncapped,Bowler,0.3
UFA9,Manish Reddy,India,-,Uncapped,Bowler,0.3
UFA9,Chetan Sharma,India,-,Uncapped,Bowler,0.3
UFA9,Avinash Singh,India,-,Uncapped,Bowler,0.3
AL10,Alick Athanaze,West Indies,-,Capped,All Rounder,0.75
AL10,Hilton Cartwright,Australia,-,Capped,All Rounder,0.75
AL10,Dominic Drakes,West Indies,-,Capped,All Rounder,1.25
FA10,Daryn Dupavillon,South Africa,-,Capped,Bowler,0.75
AL10,Matthew Forde,West Indies,-,Capped,All Rounder,1.25
AL10,Patrick Kruger,South Africa,-,Capped,All Rounder,0.75
FA10,Lahiru Kumara,Sri Lanka,-,Capped,Bowler,0.75
AL10,Michael Neser,Australia,-,Capped,All Rounder,0.75
FA10,Richard Ngarava,Zimbabwe,-,Capped,Bowler,0.75
FA10,Wayne Parnell,South Africa,-,Capped,Bowler,1
AL10,Keemo Paul,West Indies,-,Capped,All Rounder,1.25
AL10,Odean Smith,West Indies,-,Capped,All Rounder,0.75
FA10,Andrew Tye,Australia,-,Capped,Bowler,0.75
UAL10,Ajay Ahlawat,India,-,Uncapped,All Rounder,0.4
UAL10,Corbin Bosch,South Africa,-,Uncapped,All Rounder,0.3
UAL10,Mayank Gusain,India,-,Uncapped,All Rounder,0.3
UAL10,Mukhtar Hussain,India,-,Uncapped,All Rounder,0.3
UAL10,Girinath Reddy,India,-,Uncapped,All Rounder,0.3
UAL10,Jalaj Saxena,India,-,Uncapped,All Rounder,0.4
UAL10,Yajas Sharma,India,-,Uncapped,All Rounder,0.3
UAL10,Sanjay Yadav,India,-,Uncapped,All Rounder,0.3
UFA10,Vishal Godara,India,-,Uncapped,Bowler,0.3
UFA10,Eshan Malinga,Sri Lanka,-,Uncapped,Bowler,0.3
UFA10,Samarth Nagraj,India,-,Uncapped,Bowler,0.3
UFA10,Abhishek Saini,India,-,Uncapped,Bowler,0.3
UFA10,Dumindu Sewmina,Sri Lanka,-,Uncapped,Bowler,0.3
UFA10,Pradyuman Kumar Singh,India,-,Uncapped,Bowler,0.3
UFA10,Vasu Vats,India,-,Uncapped,Bowler,0.3
UFA10,Saurabh Netravalkar,USA,-,Associate,Bowler,0.3
UAL11,Umang Kumar,India,-,Uncapped,All Rounder,0.3
UAL11,Mohamed Ali,India,-,Uncapped,All Rounder,0.3
UAL11,Atharva Ankolekar,India,-,Uncapped,All Rounder,0.3
UAL11,Vaisakh Chandran,India,-,Uncapped,All Rounder,0.3
UAL11,Auqib Dar,India,-,Uncapped,All Rounder,0.3
UAL11,Rohit Rayudu,India,-,Uncapped,All Rounder,0.3
UAL11,Uday Saharan,India,-,Uncapped,All Rounder,0.3
UAL11,Ayush Vartak,India,-,Uncapped,All Rounder,0.3
UAL12,Baba Aparajith,India,-,Uncapped,All Rounder,0.3
UAL12,Sumit Kumar Beniwal,India,-,Uncapped,All Rounder,0.3
UAL12,Nishunk Birla,India,-,Uncapped,All Rounder,0.3
UAL12,Digvijay Deshmukh,India,-,Uncapped,All Rounder,0.3
UAL12,Lakshay Jain,India,-,Uncapped,All Rounder,0.3
UAL12,Duan Jansen,South Africa,-,Uncapped,All Rounder,0.3
UAL12,Kritagya Singh,India,-,Uncapped,All Rounder,0.3
UAL12,P. Vignesh,India,-,Uncapped,All Rounder,0.3
UAL13,Sabhay Chadha,India,-,Uncapped,All Rounder,0.3
UAL13,Ben Howell,England,-,Uncapped,All Rounder,0.5
UAL13,Hemanth Kumar,India,-,Uncapped,All Rounder,0.3
UAL13,Rohan Rana,India,-,Uncapped,All Rounder,0.3
UAL13,Bharat Sharma,India,-,Uncapped,All Rounder,0.3
UAL13,Pratham Singh,India,-,Uncapped,All Rounder,0.3
UAL13,Tripurana Vijay,India,-,Uncapped,All Rounder,0.3
UAL13,Ravi Yadav,India,-,Uncapped,All Rounder,0.3
UAL14,Arjun Azad,India,-,Uncapped,All Rounder,0.3
UAL14,Abhay Choudhary,India,-,Uncapped,All Rounder,0.3
UAL14,Gaurav Gambhir,India,-,Uncapped,All Rounder,0.3
UAL14,Shubham Garhwal,India,-,Uncapped,All Rounder,0.3
UAL14,Tejasvi Jaiswal,India,-,Uncapped,All Rounder,0.3
UAL14,Sairaj Patil,India,-,Uncapped,All Rounder,0.3
UAL14,Madhav Tiwari,India,-,Uncapped,All Rounder,0.3
UAL14,Kamal Tripathi,India,-,Uncapped,All Rounder,0.3
UAL15,Prashant Chauhan,India,-,Uncapped,All Rounder,0.3
UAL15,Yash Dabas,India,-,Uncapped,All Rounder,0.3
UAL15,Dhruv Kaushik,India,-,Uncapped,All Rounder,0.3
UAL15,Khrievitso Kense,India,-,Uncapped,All Rounder,0.3
UAL15,Akash Parkar,India,-,Uncapped,All Rounder,0.3
UAL15,Vignesh Puthur,India,-,Uncapped,All Rounder,0.3
UAL15,Tripuresh Singh,India,-,Uncapped,All Rounder,0.3
UAL15,Vijay Yadav,India,-,Uncapped,All Rounder,0.3
